0	[888456,15907,582418,6684214,350079,898634,4388566,588241,114177,531539,7243419,6600863,469928,4473191,4996428,5224790,3992401,1305056,194201,6059922,347,666,4825396,1057928,4819590,349,1380939,2551736,2205372,2370389,2356237,748973,3579859,2998353,932847,4685068,482851,3263226,6283590,4056050,2795989,665114,621597,5265,2582484,1705,390259,1881743,701818,3959870,1251245,2186275,2547611,2488465,164682,2653515,6339290,168387,416673,2676738,165825,254862,2153711,3262618,4238227,822812,190,6625817,6926455,3725085,1205024,184748,614165,397555,303316,2931166,5763676,4558762,4476832,640891,2678364,2622717,1881080,4291105,3878711,3409270,864490,3286145,6639701,1369571,5661359,408284,633195,3880598,6431321,2180419,6143975,101,6208245,104,5467592,902,1848,2636836,1733365,4230755,2803896,1767280,6725774,4480637,3419705,2443569,154728,434,5196287,3979145,2994980,741,1591432,3125612,3246859,6134323,2067832,3453514,5164168,3182681,919798,6554157,3076752,6668463,2257150,6067658,5222941,2105259,6497858,3990096,237222,698413,4437821,3039524,3983440,1152992,242656,3863312,3083875,4451774,1959019,6753439,2144181,4098984,7011576,2078920,4082182,1962017,397212,2592686,1914282,4530384,4663027,1896358,227874,2645470,93,92,95,4084424,6140184,249029,3156315,2735460,878153,6639338,5901148,566279,6688403,3845763,891786,1534888,574513,2467078,5566975,3077057,5972904,5779376,5886710,2835839,1778587,853566,4707354,2502754,5131058,840285,599907,316310,3069,662960,230,332942,1770183,233,2931894,912647,1191,5301845,1659122,2217844,3976572,2555012,1759449,7494652,646496,4481516,878152,4030055,5454624,2790180,878155,146,7236038,4889792,2403319,818874,4699234,1154281,341174,2803854,2100898,2648761,3016933,2929565,2871160,4510266,697069,5450,1664127,825805,6584798,877599,1034481,2016707,686,4377706,4819572,108703,4100566,331162,6395310,4439147,3145630,134,6545104,2450269,490,303284,4685775,5296544,97842,3733933,2728461,5137870,635847,4752751,4217229,1906203,1315402,662981,401,6000961,665830,1378,3187553,71818,5676454,3539674,1938820,6093472,4938931,2502276,2502275,2909368,4099356,3726530,7245921,2200128,5450420,5508146,267772,2963760,580210,3096939,2007055,3109702,2006502,660057,184445,265670,4516759,4517,923840,1463169,6932932,6049834,6962180,569501,5182553,45937,191520,3413370,5857646,1484,5302698,1591232,2194611,3075140,4693894,1501093,5064101,4305826,2404349,4229277,4574961,4644982,1897496,5890344,6284241,6812221,2706987,4206690,6609111,6731945,582,1676221,2281637,2356508,191450,1815608,528149,831254,5613528,4119932,3984374,242,4275920,5815595,990415,2437062,1887818,94903,3404215,1431,2875453,754550,1908927,609231,1938969,607703,5090072,4080079,2056936,2238217,2429599,7753009,3671362,1152,381043,34519,5022450,4987843,7510944,3681508,5303206,893247,177,2356797,1419241,7680705,172,5337884,3951683,5520719,682886,3647254,743735,898546,171470,228171,152839,675887,337157,6652600,6338912,5457419,6286101,7196958,416532,947742,3246446,658,1507,1976643,705014,825627,866300,2519780,4100633,164873,3785197,5664097,1891863,3449807,5037761,4345277,33165,2873452,6844763,2749436,354937,4190344,5416338,795297,2932094,4504897,5326614,890709,4817232,1076079,1895632,5687602,10278,628170,689237,5041286,2666575,200601,7111681,123553,5218,928560,1979259,4241215,1008015,678,323,5268746,4122314,2885597,724665,728872,2007000,4099787,4570367,2773552,933612,1942232,5521576,1475,2758676,930061,5244541,3644754,4460264,566234,687321,2669049,754512,4092658,3657833,657330,3576458,6166435,4516095,6873070,660321,6923722,2665507,1566354,5440359,5175557,3785597,4726046,784784,333605,346415,741893,5167703,3433646,671023,86840,1987569,4766432,281788,109359,3927383,569680,195844,3998533,3115167,3764108,3982621,6827483,1283209,1096712,3096946,3864537,6204946,3969329,2520,3219947,3163218,3582715,5218156,1303,281693,3004200,307531,126070,3512591,2378090,602821,5102780,3587960,577329,3682346,1040127,906000,7052041,2542413,507097,5886517,563624,4465984,174252,154914,1946675,4873,3627344,2728454,6825817,911320,143344,3121909,2064,7637932,2501560,4168892,3451964,776584,2958419,7768049,317,4860212,2772986,7147345,3578998,5168285,77512,1422549,379200,201700,2213168,3605836,1233,363641,1782876,5535451,975225,146786,913585,7269050,911589,163703,2744237,5254672,534134,2154195,222881,3627121,5356479,5362352,4619754,4731168,3945152,2608420,725975,4035779,290064,74036,2830634,1141100,2925573,6085634,1728,788335,1724,1772,263625,1733117,2576863,861574,7797494,1569488,3824607,528331,7026377,4365,6731951,6812568,4363694,4472415,5616401,2684369,3151395,2831141,1924756,2706788,1476783,33977,5238172,1042824,1832,5860659,2852924,706619,4650037,159609,210584,521781,672330,2674188,352778,5882938,1947550,3603628,2452869,4024978,2171261,2802473,732,3574141,2325458,447376,4782621,3098424,502,1543089,3783201,1089398,3957948,609,262301,4396550,5039188,531333,553440,6042562,5110234,168,164,298412,161,4303879,2900021,129049,2453729,2393583,1994576,1940953,5172406,3834161,2185188,6601529,152430,667326,7181059,5280225,2448633,6947118,2865453,2477992,3861,3034273,1384284,6211091,2082525,7407816,4596873,2780564,2682781,2837726,6047588,3848723,6916495,5167269,687560,5096634,3241158,2279227,3762501,1648743,3649055,528802,2732159,6412456,4518557,5195569,296546,6262774,3768762,5095287,6306957,440885,3720966,176224,4304151,1694797,4494587,7175572,3979907,224007,6741220,2242385,3014081,217,5801090,215,733162,210,5241466,5548632,4099195,2468237,2924997,5375536,2460265,569289,4322835,1673,6139029,235390,665101,2684211,6388724,3296183,4492426,1773,4597836,5528958,3409681,629634,288,5341176,1588681,5279863,1674,1675,864222,6330457,3643116,5382258,6998071,7014467,4714035,6053751,4152547,5836233,660244,2426419,3772149,1736710,1182080,6731963,3113704,853122,2305508,4870473,1622877,454236,322282,3204509,841910,535,344196,3899420,532,3732165,1413,46033,2832704,48379,308780,2904710,633750,6455317,6324870,819435,3982454,115,4930389,2163847,2228499,111,4066642,1814166,7243832,5345545,778737,778734,4786981,823563,851317,3904344,6779676,1855,4578554,2253765,668679,767741,3513760,422,5686451,2415494,2247901,5104141,2305137,1093842,5238611,197058,949350,2315863,2490721,2282924,6354402,2302367,1062195,246,2269029,7282284,1585038,666517,754676,2883904,352513,709738,4614651,4449136,943942,923902,3491108,4285235,6429650,1020877,240797,5202431,5307554,715788,4562425,3984816,3249131,575339,3188373,3599667,379056,1990230,933096,1885015,4679754,4582343,2532707,2959080,2591895,6334390,1735,4874683,367445,6297951,4338070,2976898,2313440,3044622,4615536,147312,1370807,2331994,3690152,2948463,6867344,4101059,5237201,5344055,267724,492451,191906,281486,228,1303155,1928260,4371164,2415526,114,3208214,1551999,1971248,4820314,280850,1102891,2902428,3157537,4553772,151,150,820660,155,658152,158,1201,1208510,4026413,802831,2374610,3145447,4098925,4158239,2950640,6004313,1517407,144831,636140,4488891,1447,5646304,3363398,1863451,1683193,6825023,3055893,565117,6452660,1817166,1731680,97274,4072891,1005663,387900,3033469,111445,5451081,406282,1573849,2880343,3011374,3046284,1807392,47663,778769,859150,1806,5215140,1804,1803,4198093,6644386,4792767,155124,6066408,6898238,884230,878807,2782582,1955504,1363,474,129538,3417496]
1	[743304,45219,3211002]
2	[5556293,5584378,6157746,5801524,5570254,5584291]
3	[1025,5377,709738,1406,529,114,714871,503627,422,689237,227759]
4	[1164,5162,184392,261724,616,997,5068,1744,620,730436,751638,3219943,435,1803,1519500,583951,1194,407,48273,1474,1653613,649,1016,800,514,1001]
5	[1860088,2754855,1399446,2669401,2598733,3351036,2599208,2779142,2782855,2397098,486265,1347896,3185369,2326016,146268,2632648,1273857,2676374,1955504,1725818,2157754,1693977]
6	[640,539651,5049,280330]
7	[480775,745232,2061155]
8	[604,570912,771414,35488,1325419,287182,1144419,732497,1111656,1672246,748620,1063517,303013,148418,59431,663177,1099085,272401,841910,788340,830243,1774,124930,352778,1443527,557874,2395586,688132,462712,5561,5562,52446,1674,2071,270139,1706767,2002649,136797,472710,1676221,1802209,189144,736622,2554352,764445,6670,5467,224007,519043,852132,2106637,1401,163,85312,4715,1065229,71304,4873,290556,4395,1443478,909768,725200,1159180,413,644022,731168,681]
9	[5599495,4837209,2506300,4701008,5855226,5360921,4797671,5687164,6847003,6620079,4051209,5195435,5979166,5589321]
