0	[3014081,0660244,5801090,6429650,4766432,3845763,0322282,0741893,2963760,3764108,6545104,6600863,2678364,5254672,4685775,4492426,4597836,3582715,1305056,0990415,5137870,4363694,5341176,1315402,0933612,6330457,0077512,7014467,1040127,6053751,4152547,5450420,2676738,3453514,6455317,0003861,2305508,2795989,4870473,4574961,5375536,0947742,0003069,1251245,3204509,6825817,0820660,6284241,6923722,0352513,0930061,7637932,2832704,6932932,0033165,6049834,4338070,2958419,3690152,1005663,4860212,0666517,2163847,0566279,5302698,7243832,4786981,5451081,5064101,1551999,2404349,4476832,1096712,0108703,1881080,3878711,1897496,5890344,3513760,0878807,4206690,6609111,2744237,3286145,0840285,6639701,6388724,5362352,1815608,6431321,3945152,7026377,2684369,5815595,3125612,2706788,7011576,0975225,3404215,4230755,1767280,3182681,4614651,2576863,4480637,5090072,7797494,5218156,2056936,2302367,3824607,1591232,5196287,3671362,0932847,3979145,6812568,5307554,0341174,4987843,1476783,5238172,6324870,0701818,7680705,4650037,1885015,3863312,1947550,3083875,1419241,6297951,6652600,4460264,0853566,1891863,1928260,2313440,4615536,1517407,1976643,0114177,2948463,2519780,0159609,6208245,6140184,3098424,2393583,4792767,6688403,0147312,2932094,5763676,4504897,3834161,6601529,5972904,5779376,2448633,1778587,3034273,4168892,1208510,2082525,2374610,7407816,5041286,5102780,2356797,1770183,0263625,1733117,0344196,2931894,5301845,5646304,3363398,1683193,6825023,0381043,4030055,5454624,3982454,1648743,3649055,0599907,2998353,2758676,0303316,3681508,5095287,2669049,0281693,0629634,1694797,3187553,5037761,6644386,4516095,6066408,6898238,4158239,7175572,1664127,3785597,0387900,4377706]
1	[6753439,1987569,5241466,4100566,4099195,3263226,6684214,4439147,3998533,2460265,0174252,4322835,7147345,6827483,3096946,3864537,4473191,2684211,5296544,3163218,5528958,3409681,2728461,6059922,3241158,2542413,4825396,3512591,3643116,3539674,0569289,6998071,3587960,4714035,1759449,3682346,4099356,3726530,0928560,5508146,1034481,1182080,0154728,4465984,4371164,3096939,1881743,3627344,2728454,2488465,3899420,3121909,0262301,1463169,2501560,6554157,0267772,2153711,4488891,7768049,5860659,3413370,3725085,5857646,4066642,3578998,5345545,7181059,2194611,3075140,0646496,4092658,6779676,4558762,5535451,4578554,4644982,2253765,2653515,6812221,6731945,1369571,2305137,6139029,0332942,3880598,2315863,0303284,1814166,6354402,2608420,0912647,4035779,2555012,6143975,4619754,3077057,2437062,1141100,2883904,4817232,6725774,4449136,4080079,6395310,3603628,4291105,0227874,4217229,2924997,5616401,6134323,0778769,2016707,1924756,3599667,6668463,2865453,6067658,5222941,6497858,4679754,4582343,3039524,2959080,2674188,1152992,6334390,4874683,2100898,3574141,6286101,7196958,4084424,3246446,1585038,5326614,4098984,1089398,4082182,4101059,4530384,6042562,3785197,5664097,4782621,3449807,5224790,2154195,0635847,6085634,2735460,6639338,4930389,3208214,4190344,6283590,0864490,4820314,5172406,2873452,2902428,7236038,0001191,3992401,1076079,5886710,2835839,3157537,1895632,6731963,5687602,4707354,2502754,5131058,3145447,5280225,4098925,4596873,7111681,2950640,6916495,0877599,6741220,0416673,5104141,2325458,2909368,7494652,1863451,2279227,2852924,4481516,3976572,2007000,4099787,4072891,2773552,2453729,3033469,4889792,5521576,0111445,1573849,5244541,5195569,3644754,6262774,5202431,6166435,2180419,3055893,3720966,4304151,2648761,4198093,0447376,5344055,4494587,2871160,3576458,2782582,5110234,5175557,6584798,4726046,3772149,2976898,3433646,2242385]
2	[0646869,0434676,0171938,0000154,0328987,0876166,0741959,0217418,0363594]
3	[0191906,0853122,0164682,0354937,0046033,0086840,0071818,0440885,0454236,0667326,0346415,0033977,0001728,0363641,0000434,0482851,0919798,0628170,0000741,0191520,0123553,0184748,0000158,0911589,0267724,0698413,0851317,0194201,0569680,0152839,0911320,0224007,0705014,0534134,0001773,0000347,0528802,0000349,0074036,0000422]
4	[2467078,2502276,2356237,3076752,2732159,2803896,2468237,2875453,2837726,2925573,3219947,2706987,4472415,2831141,2885597,0715788,2378090,1517407]
5	[0200601,0367445,0379056,3927383,2490721,0521781,0174252,1062195,0184445,0841910,0005450,0001484,0665830,0333605,0416673,0005218,0864490,0163703,0005265,0240797,0001705,2636836,0001191,0000114]
6	[0164873,1074549,0614181,1074351,0005417,0318392,0430031,1497272,0338715,0268368,0087478,0283475,0230027]
7	[0094903,3451964,2994980,5241466,3246859,1384284,3768762,0000242,1042824,2645470,2213168,1154281,1906203,3579859,2429599,1731680,3627121,2078920,2592686,4396550,0933096,3113704,4285235,5886517,3249131,3016933,2532707,1659122,2582484,3115167,2006502,1588681,2443569,3491108,4303879]
8	[0640756,0641168,0424682,0005134,0582939,0608714,0026879,0281110,0839486,0000725,0003620,0000255,0673229]
9	[6770285,3003787,2786516,5241466,4105321,4223911,4465654,3838935,1563539,3526952,5203487,0024565]
10	[0001804,0000151,0097842,0000190,0000168,0000228,0000323]
11	[0000205,0000837,0588777,0001302,0001573,0506405]
12	[4797671,5687164,4701008,4051209,5855226,5360921]
13	[0000401,0001832,0000151,0097842,0687321,0724665,0001673]
14	[2395586,1325419,2554352,0124930,0059431,0272401,1065229,1706767]
15	[0434676,0808077,0000154,0870729,0938159,0876166,0385649,0000418,0522306]
