0	[0061777,0129538,0156940,0177896,0004908,0331162,0400464,0000459,0861513,0143344,0698998,0893247,0195844,0878152,0878155,0182661,0578949,0802831,0000525,0827663,0000490,0222881,0000495,0248981,0001543,0001542,0000199,0788335,0692466,0823563,0000138,0664532,0812515,0548498,0246585,0048273,0000995,0237164,0844969,1419659,0452288,0001770,0001152,0673496,0000928,0741596,0000608,0000230,0001820,0000732,0717518,0898634,0000666,0735442,0574513,0266422,0557856,0489837,0006786,0665114,0001018,0001406,0621597,0001068,0001069,0933096,0490980,0000201,0005148,0001334,0080866,0001413,0959242,0546797,1519500,0070801,0014519,0735300,0491357,0002064,0383449,0776584,0001952,0001001,0001711,0000843,0000217,0541902,0942833,0001806,0425005,0311155,0364813,0411980,0949350,0000095,0000232,0806022,0502425,1092086,0000597,0001103,0000529,0005002,0000275,0000172,0518511,0000187,0414772,0924154,0387773,0178874,0569790,0906000,0000686,0005162,0045937,0120648,0000227,0017377,0001735,0001114,0591485,0651159,0001590,0566234,0001848,0000885,0665101,0001164,0001162,0001201,0864222,0139882,0000649,0000134,0307255,0552731,0379200,0171470,0000588,0001748,0000473,0516215,0577329,0408284,0001550,0182456,0000719,0000715,0000377,0000156,0000153,0266441,0000398]
1	[0882588,0235652,0012523,0001458,0001768,0002663,0152430,0000314,0000403,0000368,0000362,0000223,0526985,0164273,0725894,0005460,0455437,0001075,0000651,0001156,0000197,0718646,0000150,0044762,2439111,0001765,0324556,0000216,0456124,0005019,0925966,0881672,0768324,0131974,0001855,0000670,0505971,0861752,0910145,0076776,0001746,0000502,0002139,0001598,0000515,0043076,0001165,0000342,0001732,0000133,0000470,0771493,0934113,0740951,0000652,0000655]
2	[0724593,0244630,0582939,1018295,0000412,1270009,0000123,0785352,0205626,0262052,0401945,0003140,0551997,0608714,0000725,0000729,0003620,0147147,0810750,0026879,0641168,0005348,0839486,0075671,0000354,0673229,0005134,0496945,1058940,0001731,0001448,0359029,0175305,0137506,0001993,0001628,0221046,0877587,0005028,0001285,4375857,0000255]
3	[0303013,0059431,1320827,0040995,0790057,0570912,0004873,0748620,0059630,0103785,0287182,0103038,1442113,0068338,0688132,0135221,0909768,1065229,0005562,0005561,1218757,0005467,0947338,0004395,1676221,0004802,0781913,1672246,0330687,0469823,0462712,0002071,1631269,0001774,0000413,0352778,0582149,1475594,1374980,0843100,0519043,0035488,0124930,0193639,0736622,2002649,0126260,0321835,0029400,0728762,0001401,0290556,3197294,0001882,2554352,0922995,1159180,0000681,0121559,0278979,0085312,2654829,1325419,0781981,0114532,0848554,1052534,0680846,1258970,0071304,2684036,0764445,2355635,0001650,0725200,0006670,0310966,0275486,0358922,0732497,1297015,0857620,0001435,1111656,0424216,1802209,0557874,0136797,0748973,0004742,0852132,0429069,2106637,0682399,0189144,0644022,0295103,1560199,0446672,0000279,0707476,0005182,0272401,0006610,0697037,0491402,1009277,1443527,0270139,1063517,0771414,0004950,0644406,1411676,2159926,0001632,0374865,3042755,2395586,0000867,0925234,0472710,0648249,0000163,0005109,0056187,0798971,1706767,0148418,0004715,0315041,1144419,0005023,0731168,0180984,0695435]
4	[0896742,0224007,0825401,0307621,0640891,0307531,0571952,0507097,0628170,0001967,0000317,0000799,0000148,0005286,0851317,0354937,0582418,0308241,0866300,0525921,0055549,0327072,0607703,0689237,0000552,0532235,0001773,0001258,0046033,0440885,0005175,0000741,0071818,0822812,0307600,0086840,0363641,0569501,0004724,0853122,0296546,0482851,0698413,0000474,3732165,0000422,1377340,0137114,1102891,0740264,0005143,0004517,0058372,0164682,0001715,0913585,0000532,0001431,0123553,0000434,0000327,0680392,0152839,0454236,0005092,0534134,0347039,0074036,0242656,0837942,0000678,0005003,0254862,0033977,0267724,0446702,0911320,0835722,0001728,0667326,0001633,0001737,0000469,0001117,0001562,0257077,0925930,0000345,0000347,0000349,0001447,0191906,0191520,0000139,0740535,0627624,1293885,0000902,0000249,0000579,0000871,0001378,0001363,0754676,0919798,0001288,0000092,0911589]
5	[0822972,0175860,0413168,0568491,0853092,0455057,0650702,0141697,0546816,0001046,0000704,0000136,0005261,0002253,0001971,0000950,0001772,0001557,0000234,0431451,0000949,0001831,0000204,0000207,0000614,0000112,0249291,0000932,0164809,0350453,0001653,0000443,0929489,0001132,0000191,0000667,0785938,1017334,0564901,0000417,0898546,0003482,0318527,0935653,1192254,0000596,0000592,0000980,0001427,0000276,0000408,0574561,0000463,0000906,0912001,0000886,1212722,0005212,1020089,0700577,0035605,1659547,0001758,0205290,0571160,0809131,0000453,0550371,1019674,0458514,0000653]
6	[0316723,0922927,0010736,0642145,1289434,0001618,0230335,0000560,0419633,0001864,0908685,0000369,0000141,0606487,0000380,0325390,0524197,0005048,0322325,0714310,0919525,0339460,0333318,0441988,0101005,0001601,0001605,0000551,0001416,0001525,0388931,0000604,0000237,0785854,0000437,0000124,0319142,0439170,0005315,0728346,0127362,0836071,0002081,0429363,0252230,0942482,0000547,0001836,0005069,0347375,0338746,0005438,0178910,0048250,0004757,0633223,0861075,0405337,0001254,0917848,0002117,0350079,0397788,0001505,0324658,0000445,0273975,0000438,0000194,0028690,0855103,0001346,0000699,0000285,0864997,0000260,0005085,0565336,0000099,0005342,0308208,0571964,0188981,0066023,0001030,0075359,0001457,0000450,0001214,0762153,0000671,0001358,0277882,0001828,0339304,0701042,0000008,0598213,0004999,0683978,2225369,0278752,0628601,1024677,0001311,0480775,0213482,0721593,0007210,0000661,0001445,0809135,0000513,0000884,0000162,0000131,0001295,0001564,0996669,0308606,0002145,0000501,0605080,0001624,0001626,0001999,0810397,0001570,0000576,0000572,0000511,0000870,0446070]
7	[0132843,0942875,0518715,0223518,0385649,0765597,0609114,0000160,0341055,0525855,0005045,0363594,0001974,0001255,0827307,0000418,0001323,0005499,0555500,0943888,0005406,0931329,0001798,1896248,0009716,2598931,0713209,0348409,0000284,0000105,0893204,0710447,0000213,0001388,0938159,0608012,0608601,0001856,0402358,0000352,0000274,0569079,0169565,0734747,0824182,0722647,0001844,0309461,0714698,0328987,0177933,0000582,0207218,0037118,0001305,0001373,0000154,0808077,0000657]
8	[0785277,1057928,0641610,0168262,0001453,0088127,0000982,0807548,0002230,0518085,0002099,0001617,0000708,0000526,0000707,0000499,0000496,0001544,0001586,0031055,0733162,0767741,0004365,0441588,1133275,0004965,0000997,0000998,0001679,0001675,0935541,0003817,0001606,0304948,0001092,0000411,0001803,0000233,0000236,0520199,0000126,0457796,0005579,0001368,2665507,0206257,1024107,0045209,0859921,0411964,3848723,1139632,0370035,0454809,0059215,1265067,0001019,0002907,0000622,0891786,0000621,0608405,0001086,0135585,0001125,0480465,0000834,0854702,0000542,0000200,0000619,0000616,0000610,0001235,0001233,0005068,0000115,2466842,0004286,0004825,3102674,0518385,0889846,0235103,0001507,0000448,0429207,0367496,0636946,0000929,0000535,0000435,0000286,0751638,0541908,0541909,0000107,0000104,0005598,0662981,0444621,0184392,0001698,0722223,0001724,0000454,0001108,0000981,0001858,0001424,0431918,0000225,0754512,0167024,0000299,0000174,0000407,0000574,0588241,3078932,0004695,0136563,0077720,0002006,0000226,0001744,0452748,0001592,0001025,0000514,0001016,0723590,0000348,0387987,0000169,0000246,0000161,0908914,0681782,0004986,0004914,0369513,0744834,0000620,0004710,0940430,0821400,1089685,0001756,0000313,0583951,0001876,0001194,0001367,0005026,0000378,0001280,0000374,0000800,4535518,0001303]
9	[0001451,0733427,0182839,0588777,0001619,0000491,0005280,0711058,0001548,0359969,0357979,0000983,0891485,0001609,0001099,0000601,0245112,0000188,0005316,0005405,0005403,0001459,0006713,0001661,0002546,0383422,0001082,0000837,1209966,0000205,0573481,0530581,0001006,0001508,3485845,0001133,0005169,0000195,0659353,0000673,0000273,0000182,0177639,0000630,0004778,0002056,0571106,1256602,0236519,0004266,0005190,0528331,0683467,0001302,0001573,0001185,0001872,0000152,0506405]
