0	[2794310,154728,161,4134146,1759449,6283590,2488465,165825,3725085,1422146,4291105,6605991,1109889,2031710,3208214,5164168,6844285,4489134,6938968,5230833,6464271,3296183,4819590,6639338,3077057,906301,5131058,2624875,3214012,4889792,4516344,4242755,2871160,1031252,4819572,1517756,3990604,2950640,5927928,6304134,161978,2007055,4516759,3959870,7051311,5182553,5857645,5857646,2194611,3075140,1861678,6358600,3984374,3880598,2452869,7749647,3951683,810952,4939206,4840208,5664097,2873452,6844763,1128356,2293597,5326614,2087100,3818069,7111681,928560,4792561,4100734,4099787,6855023,15907,3296349,6827483,110807,3004200,3085868,7683397,154914,3096939,4720749,4190344,3231758,1768138,680392,2608420,2757641,1263332,2852924,7229878,2404369,4119820,4782621,5969750,5553586,2453729,5172406,2185188,4099578,2865453,1190376,2682781,3848723,6379444,278468,6326385,1797254,6374560,3720966,3772149,4831020,6753439,4099195,6731963,2460265,338834,5661374,3643116,1182080,3899420,4478620,5114110,4397535,2253765,2315863,2269029,5352674,6395310,5250529,7299465,5810135,4742,453115,2184061,4371164,6143981,406282,7677121,3241158,4488891,3055893,6452660,2440492,4172555,6947118,3253860,6684214,4473191,6059922,2177959,7476179,6604726,5167703,6143975,882769,6725774,5042825,6134323,6554157,3990096,3039524,1968254,3134827,227874,3156315,2735460,3248504,3225449,2835839,905202,2796754,4111110,2502754,2860309,332942,6670321,912647,2892831,3774997,2006118,3907732,3785197,6584798,877599,4100566,4439147,1086389,884230,3494672,4217229,3539674,6093472,4099356,3726530,3978077,660057,1463169,6812221,2282835,6731945,2789132,2381608,2437062,2336925,1864828,3647254,6338912,6286101,1452254,5819502,1632114,1008015,4451774,4133653,3644754,3433646,247181,2642142,5467592,3512591,1354679,3587960,3682346,2542413,4787716,6721757,2428433,7768049,6657831,3095117,5535451,2092321,1137707,4619754,4973212,920210,3702196,4198904,6731951,5616401,290064,2674188,4024978,3783201,1089398,262301,7249327,3185582,2247833,6211091,5096634,2279227,2219208,6412456,5195569,5508146,4579350,5241466,1503815,4712377,6910839,4699234,4209848,3517687,4930389,2228499,258945,668679,2684036,85745,6996669,1585038,2883904,4449136,646496,7191723,743735,2575439,4101059,4098925,1344549,1863451,3011374,5436540,778769,1015262,703881,4213481,7243419,7683074,4530384,460168,5944484,3263226,5192333,1881743,2109411,232426,134666,6139029,2180419,6499181,3204383,6668463,6067658,6497858,6928978,5363209,5901148,4074419,4707354,1973866,316310,3976572,2555012,4481516,6047588,1060360,2648761,4510266,6033113,6741220,1854085,303284,2728461,635847,267772,4101087,7510944,6871360,3231807,3637454,3413370,6339290,6899073,6119097,6081044,1658784,84114,5303206,3109702,4205247,528273,7196958,805476,4100633,380694,1987569,3449807,4817232,1076079,4099269,5687602,2773552,3576458,5175557,4726046,2242385,279112,3998533,3096946,3864537,3121909,1034481,3246446,3608877,2501560,6670578,483915,5135075,5665945,2864894,4064640,5279863,6330389,1971248,5860659,4084424,3144298,6042562,25255,2900021,2339304,152430,5280225,6457520,1695977,4596873,6306957,3238541,2024585,1357091,5599587,4518557,5537566,4304151,5706241,18829,2923350,569289,2684211,6884834,2011657,5382258,6998071,3262618,726492,6616774,7275230,6340022,3860545,4066642,3904344,2305137,1303530,4554234,6354402,2411206,2401565,2196739,1895632,923902,1020877,5202431,3984816,3599667,2763771,4679754,2959080,6334390,4874683,5544435,2331994,4437821,5440359,784784,1493534,7113973,6085634,3923953,2902428,4553772,3576450,3145447,753317,2924997,3033469,1573849,4663027,6866993,1408895,4996428,2389309,5224790,4578554,1128474,4238755,4825396,4100875,2460174,4928570,2186275,2653510,2653515,5337884,6926455,4558762,3163218,5882938,382671,5579,2622717,5886710,2925487,6443686,5222941,3020303,1152992,7282284,4098984,4082182,7147345,3618366,2725041,6406500,7494652,4693894,2100898,1092227,7479988,1659458,6000961,2909368,2200128,2502823,2728453,1760086,2728454,4644982,5661359,528149,5613528,1561382,6625817,6568369,4080079,4301034,2735175,1248934,5520719,5225258,7236038,6666474,2007000,3263389,4696415,5521576,2016707,4092658,6166435,4056050,1369571,494128,3627344,2153711,3617785,3103971,3578998,6396248,1422549,7716715,7269050,2154195,5485901,725975,4035779,1141100,307898,1924756,2976898,2497210,770719,3603628,2325458,447376,4465984,1543089,5110234,5244541,6033308,6916495,5167269,687560,2440805,1917911,4494587,1997790,5836233,3192863,4322835,5528958,3409681,5345545,4714035,48379,846548,2974069,7181059,4685068,2255655,6779676,2604509,3992401,5686451,1995226,5104141,1814166,1566354,151142,6262774,671399,4562425,129049,4100801,3617800,4582343,2802473,5717242,3574141,1370807,6962180,528164,5436273,5344055,4198093,4820314,4975544,5909135,3157537,2782582,4187712,5296544,4072891,111445,3092088,4930491,1303155,1878162]
1	[7508045,6600863,2998353,2547611,6284241,4291210,4476832,1096712,1881080,6651234,3409270,6431321,4486605,5196287,3979145,2067832,4828319,1959019,499363,1813221,5301845,4030055,2257150,4377062,4035029,1664127,698354,4206711,5137870,361381,825805,1315402,2282254,1858908,4987843,908446,1301031,3084565,1887818,5090072,6456360,1922787,6652600,5450467,4504897,5041286,4938931,7243832,3111556,5123156,2669049,4158239,359747,2678364,3286145,5102780,1040127,3496745,401132,975225,3945152,4623946,2576863,3197294,1476783,1928260,2313440,387900,2502187,4209857,7637932,7407816,599907,2154316,7439250,2575966,1265067,5548632,5341176,2198063,6455317,3690152,5237201,280850,4786981,3052451,4852204,666517,710447,5307554,3733933,4026413,4987942,3785597,6066408,878807,5571735,3771454,1972711,3615754,932847,322282,6639701,1093842,3582715,6931259,6324870,5583008,642358,6140184,3845763,5763676,1782876,3276023,840285,1778587,7837386,489528,5454624,2790180,7052041,2423229,3145630,5254672,2045884,5563983,7245921,2963760,444751,1817166,2404349,4229277,1897496,580467,4275920,3404215,2056936,2647420,4168892,2356797,7680705,1891863,1517407,5037761,4570367,1722521,2948463,2305508,424574,820660,7145871,3957948,741893,4766432,3764108,3969329,5218156,3868982,5168285,2744237,5362352,4731168,2684369,5085894,7797494,3824607,1701602,6812568,4363694,4650037,7440224,3098424,3982454,3972253,339489,1940953,3861054,3861,545008,3762501,1648743,933612,1694797,7112664,3014081,420228,794688,3689203,4597836,1984031,61262,52202,660244,344196,4338070,1005663,2163847,6591687,869595,3513760,1962017,352513,5117177,7456865,4614651,1947550,3683221,4792767,6825817,1208510,770179,5646304,5451081,4685775,383296,114177,3779865,5750163,701818,2931166,469928,427793,3878711,3834161,1475594,6208245,1733365,3863312,3083875,1914282,4670290,2633215,5972904,5779376,3069,2931894,2837818,7718809,4377706,6545104,143295,3187553,172461,106477,3198091,390259,5890344,4206690,6609111,1815608,4119932,566279,1908927,1938969,3671362,5022450,898546,1419241,5457419,4460264,947742,1976643,2519780,33165,2448633,3657833,6204946,1827372,2007965,1794697,2958419,4152547,3361800,77512,24609,3182681,1874504,5435761,1591232,1024107,3034273,2645116,2931274,6053751,629525,1485940,5375536,3605836,629634,2794769,7014467,2426419,4820915,4870473,3204509,3689537,2247901,2758676,2786383,6429650,1990230,1885015,2689261,4516095,1145617,2374610,1514763,7043475,4697,3363398,6825023,1305056,2795989,658152,1251245,303316,855061,4230755,1903303,1767280,4480637,1591432,3125612,1736710,2573224,1994576,5238611,4991369,1979259,589463,6688403,2713559,1534888,5566975,3983440,853566,81787,1770183,2052217,341174,2676738,2513232,6570402,5440652,6049834,5302698,5064101,4305826,4574961,5815595,707750,7011576,6892175,381043,1457701,1221900,381681,2749436,3580226,2932094,4001975,3188373,6873070,1205024,281693,7239708,5242830,6923722,990415,4860212,5911248,5416338,5343334,1829945,1569488,7026377,263625,1733117,3151395,5238172,706619,159609,2706788,5215140,2393583,6848589,6601529,5060159,2082525,1323822,3649055,3681508,5095287,5450420,7175572,2464706,3651771,5801090,1727794,556835,5268746,6388724,4492426,6330457,3453514,2832704,115,1720532,105471,1706076,197058,574159,2302367,108703,6932932,6297951,4615536,147312,6867344,1985852,930061,492451,1551999,465420,1683193,2773295,2880343,1807392,6644386,6898238,863566,378245]
2	[261724,342,299,135585,443856,4657,274,182456,376318,104,105,4362174,767741,202966,724604,541908,45209,168262,591485,348,891786,1194,910301,1756,3684710,444621,1330560,930095,835144,366389,454,26364,1133275,625247,377,398,859772,21112,246,174,4825,333689,311811,1367,68166,7210,861075,1768,206257,3219943,542,935541,425215,411,4286,6234459,4757,648249,861752,807548,408970,169,755556,391595,1606,1071784,535,452748,857806,202612,245653,222643,216507,2175772,1943565,55794,2466842,253708,231283,1424,226,225,2415526,277727,1803,4999,936762,1154986,454809,526,1019,575393,1235,659573,438,435,949477,925916,236,233,184392,719159,310060,754512,126,492924,846480,70115,662981,4986,1484310,251999,781913,1952,701042,122036,346003,743159,209962,541909,515,514,622,369513,1653613,114532,59215,110433,439170,441588,200,2619114,2230,854702,765605,491590,455437,5068,328709,928,4979,63502,564697,671,1729,1724,251986,601376,827307,407,1586,480465,172492,136563,1453,730436,2213461,761572,503624,733162,213,797150,2668,740951,2552460,323617,4897,4710,1858,756830,843,374,694066,419273,934113,575850,1025,675490,4365,608,2308210,1117,641610,4535518,224496,1057928,2867791,301381,247611,16776,402358,611889,193,444955,161980,2374829,633195,605079,235103,1844,763341,324658,1404109,855103,1698,616,1474,1305,1303,499,963201,722223,1876,397788,3282129,835722,754550,518085,1084,4949,821400,440257,387987,719604,719602,889846,2023,592188,885,164273,559977,899079,37118,861093,816148,446314,606487,31055,313,314,2062601,258343,942875,199594,5024,5026,52186,2388379,1139632,871,10486,400464,428952,1075,520199,1679,1675,1092,676,333702,1323,413052,935498,1525,101005,1519500,1280,66023,982,77720,908914,621,4695,620,3102674,5162,2006,1798,719,513010,1103,505,1086,179960,112393,258402,448,338746,1544,134072,86319,431918,378,662960,48273,518385,608405,735270,708,596789,847727,785277,2342340,263283,751638,1507,917323,507212,4914,4981516,1963273,437328,3078932,360106,43076,997,671234,998,371579,834,4879,457796,1016,5019,147814,4744281,719736,5093,2387853,223518,823155,316723,608601,5438,744834,2268180,940158,1358,2907,5551,5552,866019,3418410,687625,859921,284,2415494,832165,286,981,3404720,88127,902529,68382,522324,1391796,1089685,797151,583951,133474,575339,547128,304948,621393,429207,781238,5420,1744,1164,1165,571964,370035,867004,330687,924918]
3	[452592,1348227,2429599,2259988,2676374,5848242,4270896,2994980,2105259,2205372,1628,2035230,382632,918435,2403319,2760252,3016933,2779142,2006502,1501093,191450,242,3873681,1625868,746156,146268,4122314,121605,672451,1725818,858488,4285235,4008268,1946675,446672,3627121,861574,2904710,486265,2239584,167024,2780564,2599208,3493599,1129963,3768762,704088,3979907,3606353,3115167,3044622,2754855,1399446,5004140,2439111,2665507,810750,475218,3579859,2582484,1222843,226195,2592686,1685030,281909,990582,2803854,1534700,2929565,3810300,4752751,300013,94903,2397098,4345277,2935346,2484764,2669552,1942232,1828248,5399461,686042,307534,5886517,5356479,3882435,3351036,2157754,388931,1042824,750419,3340411,1384284,1154281,4346156,2800974,3185369,2632648,4920159,6981664,235652,1622877,2326016,139882,2782855,3491108,2403198,477070,178291,785352,2904151,1955504,1731680,3249131,957201,12523,2370389,1659122,1938820,828840,4388566,2669401,1294994,1896358,677167,388087,3113704,1347896,3246859,3902369,1588681,4241215,284609,1983322,1273857,2213168,2532707,3555224,1391807,6732195,2171261,265959,2287478,4667058,2772986,2077660,3419705,2443569,565117,6388236,925578,933096,2144181,2645572,6669,4877837,939731,714147,5446549,1380939,2551357,5135001,1916770,1879287,2078920,2645470,2827073,2811187,4303879,5676454,3120423,1906203,421421,1302483,2295322,3876772,7753009,2386140,1860088,5039188,3269395,1419659,5563542,2360853,3485355,3990143,575348,3451964,1396107,2450269,1850385,2830634,771134,37806,751750,2784831,3046284,144425,279390,2598733,913545,1693977,222881,2238217,6060265,4702430,4383516,1243953,1080067,823940,7662127,2461813,745,580646,6004313,4396550,3149316,155124]
4	[446654,411980,665114,266441,298,969,1141691,3204410,785854,408284,188981,488095,330917,578622,714310,295037,50165,809135,99,48414,95,551,218318,784171,502906,28690,384771,717518,342852,517752,273975,692466,87974,580210,552731,598213,923840,707,6786,364813,265376,243,2061155,810397,172,458271,2057,1317917,176224,1269976,275,761587,1618,278125,178916,178910,1765,893204,659601,1542,1543,614285,359834,126070,922927,797529,143344,5002,228589,119144,6874,201700,733076,785594,491357,369,313953,593291,380,129127,454418,135306,160,162,573299,745232,837173,874397,178874,546797,327587,682399,4785566,390880,541120,673,1609,800,59946,316079,1770,656071,379200,307278,822802,1152,917620,1550,573715,264881,713209,31742,351202,121793,14519,318527,428421,207094,771993,348927,660321,227,888536,153,97274,1806,324556,539652,294043,322005,762153,698998,621597,68633,502425,1125,688911,220867,525,1018,591431,529,899995,901926,446070,2520,881953,533323,123268,44762,366573,1696,723590,555500,249029,519023,574513,422040,230,232,149,124,7958,763574,342241,341055,412388,931329,203218,1711,147147,1133,2218784,1001,623,34519,190962,557856,825627,114085,782715,890709,678014,895963,173126,738850,452288,201,17377,657330,729401,942195,671023,959242,758063,882588,906000,5069,371474,1820,609231,608012,582778,688840,753526,363159,137142,490980,651159,887188,728346,275911,1030,331162,108525,516215,347375,686,912001,726527,177933,182661,505764,859403,2638069,750658,642717,217,2139,169565,405337,910145,791877,576,871458,828678,627224,1852,327041,518511,949350,455088,80866,790057,1731,1735,565503,248981,1599,1046,5342,1499462,171470,1201,738189,1114,515372,5231,872242,144831,898634,795431,193295,536312,517448,346089,199,725894,535084,350453,1848,906,513401,367496,387773,22883,907648,171468,29400,414772,913460,818874,182839,862569,114382,340260,490,491,127362,110398,924154,195630,170357,266422,45937,350079,842684,682886,277882,615428,741596,1082,223653,514055,2117,780336,143782,1076073,48250,886,1293330,10278,850211,685201,609114,679357,569169,552327,95114,524197,822972,195844,142334,156940,1315,577329,109773,563624,933840,1415936,228171,476040,604742,235390,109175,865356,623319,877014,664532,697587,621008,307638,320735,321173,308208,169753,279510,355278,496736,816628,776584,320203,502015,1067194,274684,432,472762,758405,548498,864222,1099,243806,480775,919525,813977,1416,819435,778737,778734,778735,1685472,823563,14483,1254,1520,748189,803370,731634,224995,683978,382263,933361,166359,2143912,61777,489837,656929,332252,926086,820788,735300,852939,904967,543616,531539,456801,666,715,917848,1068,768324,861513,443,1334,445,1448,186763,649,699,330,192351,686911,546868,560,120648,878152,878155,766534,682922,957257,138,12376,210584,1092086,878153,802831,611154,827663,936298,131966,1650,365107,588,540595,187,5406,1439,636946,778533,459,893247,749298,675887,657,145319,888456,180621,549475,582249,213482,812515,32216,831471,697069,308780,321,74810,411964,844969,566234,566013,859150,242177,1590,410023,852957,776042,65418,4908,286561,673496,602821,995,5148,541902,128,377750,196872,522797,2064,1346,134,108970,441988,237164,935247,788335,385805,311155,357084,574,338867,732,751625,265670,553440,1388699,503567,319142,714871,35954,352,815769,707178,665101,289,308241,765597,806022,119874,2253,633750,742412,636140,449684,506582,709738,943942,891485,135406,837051,569790,10736,421087,1748,672575,1162,913370,745029,786639,180984,2922525,1564,173335,735442,473,129538]
5	[1229520,588241,261729,345,50648,347,349,1009277,1320827,3170659,46134,3967702,309307,291,281788,942482,273,353869,853122,573134,742409,102,101,627624,148418,4814,741045,919798,698413,278248,339460,285027,110480,539651,2366264,70801,1625,1624,1999,316702,553,552,2103179,518,7696566,1751,523334,511,123632,1560199,974549,1287,1288,1573,681,126260,1295,97842,403,401,1378,408,1242,1708092,397,830243,642867,4724,908685,59630,2734923,245,244,491402,249,201436,324533,4250823,454236,697037,121559,178,191520,173,2056,152839,86515,940430,455767,218191,123553,1619,1617,5190,866300,163401,347039,569680,518836,526985,688467,1548,546,547,446702,1289434,1490495,507097,526185,1388,412,1383,6715275,240838,362,1384486,74036,740264,65320,816105,205626,124930,257890,732309,117192,525921,193551,429069,168,164,75671,163,588777,810987,4303437,125084,270139,996669,528802,1601,1605,1434871,628601,781268,911589,1774,1773,1772,68338,1156,571952,2554352,1556,532,531,845863,1374980,165101,1501262,11038,339304,422,3817,582149,764445,5143,2654829,857620,281486,228,223,221,578949,1102891,151,152,155,270383,158,1133719,440459,193639,5280,5286,5048,1804,2355635,387734,519223,164682,5562,788340,93,92,194201,269599,5182,1251,5460,5467,197080,5268,798971,254862,822812,570033,663177,393458,1597260,1055413,1233,79612,3425996,437,434,1111656,483541,258117,950867,1967,397212,868504,4778,257077,1802209,852466,167649,237,146,144,140,148,937059,5078,1836,932,403947,2106637,3455559,569501,1173,291881,1715,1714,799,551997,136797,307255,1006,513,540164,1285,2786793,189144,238541,354937,303013,186505,35488,515296,733427,177639,221046,425005,205,1570,757855,307621,86840,2099,934254,307531,712341,1024677,4887,1828,325390,929,327072,122020,841568,111730,1371557,837,644406,469823,333410,534134,388933,58372,1256602,298412,1728,1411676,569226,150,3042755,33977,294135,352778,2395586,156,507,502,501,630,1214,1644,2789340,2495438,103038,355659,1457,1451,1100,440885,1459,728762,421114,707476,358922,249006,383449,86276,579937,528331,503627,224007,215,210,424216,440458,925930,46730,506405,225698,333318,1854,1855,1293885,2230709,5049,168371,1443527,1732,1737,254760,191906,1592,230335,604,1218757,748620,59431,620232,557874,1447,1449,1706767,848554,461,652090,47663,2957717,180025,642368,816375,843367,688132,726223,357979,189181,642145,198,195,194,197,190,566445,184748,397555,3029577,1331837,2546,640891,1589811,5003,947338,489861,902,1309643,1107024,5345011,4950,710292,571106,71304,2094313,179224,245112,614165,583653,741,175814,910607,335275,234810,1192254,1442113,618,610,864997,1475,279,1302,496,492,831601,456124,5581,1065229,852132,1807425,6713,1229681,56187,98378,732497,177,1567085,1913694,666256,498314,277975,444940,374865,345336,909768,601,278979,1872,82450,1052534,182,1778091,3485845,188,867,132637,884,705014,62711,1099085,278752,676649,1592323,724665,718642,718646,565250,472710,168594,334057,517512,855132,771493,1443478,911674,5109,342858,445551,216,825401,661,653,91286,212,395203,733812,193061,519440,242656,8650,1311,866055,881672,89781,413168,1406,725200,928795,317,553269,913585,6670,2318505,75359,161970,1365912,3102062,166346,5028,5023,920038,1868,810488,4937,256599,689237,5110,644022,2002649,1274797,870,532235,2922572,865114,346415,2382811,384211,1787,5377,45219,275486,1673,131974,670,715469,930533,728872,1209966,412374,5356,1159180,3732165,1413,2973496,3980774,851317,5561,1255,550982,1258,370361,519043,730168,55549,6087845,1325419,321835,2159926,362766,603162,4920,431451,5169,232023,891299,252230,1706832,1782490,301370,4852,1704,619,582418,536850,367228,711058,583654,943156,665,748973,2071,1069,137114,1664,1661,659353,8231,597,598,1297015,272401,1401,941777,843100,681782,419633,672330,640,234606,570912,40995,267724,401091,72344,295103,683467,925966,6610,397171,234,306696,269463,932179,997740,236519,836071,446526,4668,227759,5175,105672,5179,133,530581,131,139,564402,310966,818055,172333,702,293483,731168,86553,651008,3211002,5316,5315,700712,394390,413,1632,280330,5405,1435,5403,1431,607703,1458,771414,4266,450,451,456,1258970,462712,429363,655,652,1505,1508,658,659,570904,383422,229784,896742,573481,680846,495,736622,628170,315041,740535,323,327,1882,332380,687321,2225369,4715,2332,3535133,482851,1682319,651,1501738,52446,1151899,831254,368,245145,605080,123,129,137230,4873,593734,2066,428963,5348,1063517,157297,5092,114390,2663,911320,1832,385809,6826,2970695,579,571,389,1426,1631269,469,263577,609,226813,463,322339,132100,11148,505971,667326,192377,797329,177896,395428,556831,678,127485,288,925234,285,337157,260,247691,505570,85312,668372,942833,428008,754676,46033,983,111,488083,4802,1086543,743304,837942,5085,622553,1209,781981,1096475,220886,71818,1633,363641,68709,5119,695435,4965,565336,1187,1185,174780,1746,729,4517,1144419,296546,650702,169454,1562,1377287,2803524,458,4395,470,1363,474,1368,1864]
6	[6377106,276,870199,364711,788009,819874,1758,175860,3620210,998870,2018573,379,375,220155,179,5619937,254712,571160,265457,5687164,5203487,6969,344435,417,546816,2215447,2506300,638056,641244,807541,424819,568491,141697,5855226,668123,752379,1971,3755752,365281,132257,1557,53,207,164809,4797671,498278,4605,3003787,935653,5569,4465654,1497,5261,1268748,1097,4355,1034386,334262,1031296,647634,3439723,970985,2081,1831,1838,1563539,917606,1132,24565,240518,204,2167957,146146,2145,2148,719637,219070,507343,492566,641596,835016,3482,5715405,329023,2788751,290556,2798722,151259,4837209,4105321,191,542133,1212722,574561,564901,3526952,71007,663793,103785,3838935,396812,358,5195435,342029,4701008,473578,929489,1734700,5212,667,1046097,5360921,4067027,1165110,249291,550371,4051209,785938,809131,5589321,6770285,539537,6062352,6520646,799777,784818,151463,205290,2889505,216342,6154708,279209,264857,950,458514,703595,990439,1107001,384060,2076,592,596,6620079,424060,8,5599495,949,1659547,773609,853092,455057,136,768539,151390,1653,453,35605,79273,1019674,1646,3179299,112,2955994,736745,700577,5979166,818547,922995,1017334,1020089,1427,353,731772,2797216,114460,4223911,252961,135221,2786516,614,980,749263,1634,704,1408704,569,6847003]
7	[824182,2875730,2598931,1034414,1498109,5499,1570097,1446934,132843,3095001,518715,863376,926355,3091856,2945054]
8	[176922,2744525,2759438,4082463,1151921,4236202,2534360,5550236,637441,942257,480961,687772,166232,2386829,165721,1495175,6721765,1236209,659600,4465621,1756151,795449,420792,485062,5440468,76776,2128447,1033120,1775524,1548733,2603498,1296249,4112768,245486,4239141,1927425,633811,931324,1128418,1415992,353491,364931,225963,409367,821436,448240,2110353,362268,25181,74784,360593,348409,899087,6649648,6032875,78693,1598,6579821,2146169,6659348,307600,280409,47264,3172770,480808,809806,6980119,431438,329517,723365,1390793,4773491,648416,6529940,749490,381483,4435266,721593,593301,79925,930707,1088868,4969830,853024,7002,5535767,826243,139175,587379,3502833,1188949,107285,123092,1413853,2474245,625789,1656114,912154]
9	[839642,569079,876166,1964623,5090657,418,525855,6352986,5570254,4692061,1410687,2481281,328987,2668091,7357519,154,722647,363594,112923,7062640,157915,6157614,917492,943888,3894712,5584291,385649,3276886,6157617,131697,207218,1108,217418,3122797,6032711,741959,1856,4985393,933919,933918,434676,938159,6157616,222719,5204203,310430,163479,646869,5598,235159,682762,2046138,359969,5584378,171938,33749,596404,808077,1373,43891,725079,6151365,514093,6157746,623846,6633833,582,4118766,6574367,502959,522306,6669451,6603761,376347,804361,863024,734747,5556293,5801524,719037,604968,3928364,870729,476226]
